Year,Plot,Mean Total Cover
2008,1A,16.5
2009,1A,41
2010,1A,56.5
2011,1A,25.25
2012,1A,56.5
2013,1A,54
2014,1A,51.75
2015,1A,34.5
2016,1A,57
2017,1A,40.75
2018,1A,44.5
2019,1A,66
2020,1A,42.75
2021,1A,31
2022,1A,24.75
2023,1A,34.5
2024,1A,38.75
2025,1A,55.25
2008,1B,19.5
2009,1B,24.25
2010,1B,52.5
2011,1B,27
2012,1B,60.5
2013,1B,15.75
2014,1B,16.75
2015,1B,10.75
2016,1B,54.5
2017,1B,28.75
2018,1B,29.5
2019,1B,58
2020,1B,21.5
2021,1B,27.5
2022,1B,34.75
2023,1B,25.5
2024,1B,16.5
2025,1B,13.5
2008,2A,2.75
2009,2A,12
2010,2A,28.75
2011,2A,6
2012,2A,24.75
2013,2A,11.25
2014,2A,16.75
2015,2A,5.5
2016,2A,28.5
2017,2A,40
2018,2A,27
2019,2A,33
2020,2A,15
2021,2A,18
2022,2A,27.5
2023,2A,23.5
2024,2A,8.5
2025,2A,35.25
2008,2B,11.75
2009,2B,10
2010,2B,30.5
2011,2B,16.25
2012,2B,33.25
2013,2B,11
2014,2B,43.5
2015,2B,5
2016,2B,40.5
2017,2B,6.75
2018,2B,11.75
2019,2B,15.5
2020,2B,7.5
2021,2B,8.5
2022,2B,7
2023,2B,14.75
2024,2B,16.5
2025,2B,12.25
2008,3A,26.75
2009,3A,30.75
2010,3A,49.5
2011,3A,48.75
2012,3A,54.75
2013,3A,41
2014,3A,42.25
2015,3A,39
2016,3A,42.25
2017,3A,32
2018,3A,27.75
2019,3A,49.5
2020,3A,23
2021,3A,36
2022,3A,32.75
2023,3A,34.75
2024,3A,40
2025,3A,40
2008,3B,10.75
2009,3B,33
2010,3B,42.75
2011,3B,28.5
2012,3B,53.75
2013,3B,46.25
2014,3B,38.75
2015,3B,32.5
2016,3B,48.75
2017,3B,28.25
2018,3B,18.25
2019,3B,35.5
2020,3B,47.75
2021,3B,76
2022,3B,74.5
2023,3B,51.5
2024,3B,41.75
2025,3B,64.25
