Sapling_Tag_ID,Date,Season,Year,Canopy Cover,Percent_Class,Categories,Dominant_Category,Max_Category,Blight_Score,Branch1_twig,Branch1_leaf,Branch2_twig,Branch2_leaf,Branch3_twig,Branch3_leaf,TOTAL_Twig,TOTAL_Leaf,TOTAL_Leaf_per_Twig,Browse,Vertical,Other_Pattern,Alive,Comments
PB1-01,24-Sep-15,F,2015,,2,12,1,2,46,3,4,7,9,5,15,15,28,1.86,N,N,N,Y,"substantial insect damage on some leaves. Old, minor browse damage"
PB1-02,24-Sep-15,F,2015,,2,123,2,3,51,3,6,3,5,3,6,9,17,1.88,Y,N,Y,Y,Blight leaves are in clusters
PB1-03,24-Sep-15,F,2015,,2,12,2,2,50,5,13,6,26,6,19,17,58,3.41,N,N,N,Y,"Old, minor deer browse"
PB1-04,24-Sep-15,F,2015,,1,123,3,3,35,7,36,5,14,7,40,19,90,4.73,N,N,Y,Y,"Blight leaves are clustered. Old, minor deer browse"
PB1-05,24-Sep-15,F,2015,,1,12,2,2,30,4,9,5,28,3,11,12,48,4,Y,N,Y,Y,"Some heavy insect damage on few leaves, some are brown, curling. Bligth leaves are clustered"
PB1-06,24-Sep-15,F,2015,,1,123,2,3,31,7,20,8,26,6,29,21,75,3.57,N,N,Y,Y,"Some insect damage on a few leaves. Blight leaves are clustered. Old, minor browse damage"
PB1-07,24-Sep-15,F,2015,,1,2,2,2,30,3,21,3,19,6,23,12,63,5.25,N,N,Y,Y,Blight leaves are clustered
PB1-08,24-Sep-15,F,2015,,1,123,2,3,31,8,26,10,56,3,5,21,87,4.14,N,N,Y,Y,"Old, minor deer browse. Blight leaves are clustered"
PB1-09,24-Sep-15,F,2015,,0,0,0,0,0,4,13,5,16,4,11,13,40,3.07,N,N,N,Y,"Some insect damage on a few leaves. Old, minor deer browse"
PB1-10,24-Sep-15,F,2015,,0,0,0,0,0,5,10,5,9,7,34,17,53,3.11,Y,N,N,Y,"Extensive insect damage. Current, minor deer browse"
PB1-11,24-Sep-15,F,2015,,1,12,2,2,30,5,10,7,19,4,24,16,53,3.31,N,N,N,Y,"Some mite damage; some curling. Not clearly linked to blight. Old, minor browse."
PB1-12,24-Sep-15,F,2015,,0,0,0,0,0,9,16,8,42,5,13,22,71,3.22,N,N,N,Y,"Many leaves with insect damage. Brown, curling…not blight. One broken branch and other physical damage"
PB1-13,24-Sep-15,F,2015,,1,12,1,2,26,9,65,4,37,8,27,21,129,6.14,N,N,Y,Y,"Some insect damage, curling, not extensive. Double-leader -assessed tagged stem. Blight leaves clustered"
PB1-14,24-Sep-15,F,2015,,1,12,2,2,30,3,8,6,30,3,12,12,50,4.16,N,N,Y,Y,"double-leader, assessed tagged stem. Some insect damage, curling, discoloration, wrinkled leaves feel papery. Some clustering of blight leaves"
PB1-15,24-Sep-15,F,2015,,1,123,1,3,27,11,99,7,18,6,9,24,126,5.25,N,N,N,Y,Some insect damage; some curled/wrinkled papery leaves; multiple leaders; assessed tallest
PB1-16,24-Sep-15,F,2015,,1,123,2,3,31,6,21,4,3,8,65,18,89,4.94,Y,Y,Y,Y,"double-leader, assessed tagged stem; some browning/curling - not blight, not extensive. Blight leaves clustered"
PB1-17,24-Sep-15,F,2015,,1,1,1,1,25,12,40,9,25,7,7,28,72,2.57,N,N,N,Y,"Some extensive brown/curl, not blight, some insect damage"
PB1-18,24-Sep-15,F,2015,,0,0,0,0,0,6,16,3,4,11,54,20,74,3.7,N,N,N,Y,"many leafless twigs, some brown/curling; some insect/mite damage"
PB1-19,24-Sep-15,F,2015,,0,0,0,0,0,5,0,8,0,7,2,20,2,0.1,Y,N,N,Y,"tree almost leafless, not blight. Green leaves on ground beneath with brown/curled edges"
PB1-20,24-Sep-15,F,2015,,1,1,1,1,25,16,60,6,14,8,9,30,83,2.76,N,N,N,Y,"Single leaf with blight. Brown/curling, insect damage, leafless twigs w large buds."
SB1-01,2-Oct-15,F,2015,,3,12,1,2,66,7,21,4,8,3,6,14,35,2.5,N,N,Y,Y,"Brown/curling, not clearly blight; previous leader dead. Appears to have dropped some blight leaves. Blight leaves clustered"
SB1-02,2-Oct-15,F,2015,,1,13,3,3,35,5,11,2,4,3,4,10,19,1.9,N,N,Y,Y,"Minor insect damage, has already dropped some blight leaves. Blight leaves clustered"
SB1-03,2-Oct-15,F,2015,,2,123,3,3,55,3,3,4,0,4,0,11,3,0.27,Y,N,N,Y,Multiple stems; lots of leaf loss at top; assess tagged leader
SB1-04,2-Oct-15,F,2015,,1,13,3,3,35,10,2,5,4,3,1,18,7,0.38,N,N,N,Y,"multiple stems, assess tagged, lots of leaf loss at top"
SB1-05,2-Oct-15,F,2015,,3,1234,3,4,76,11,43,8,34,4,6,23,83,3.6,N,N,Y,Y,"moderate insect damage, has dropped some blight leaves. Blight leaves clustered"
SB1-06,2-Oct-15,F,2015,,1,2,2,2,30,11,13,6,2,5,1,22,16,0.72,N,N,N,Y,almost leafless
SB1-07,2-Oct-15,F,2015,,1,1,1,1,25,7,28,6,13,5,7,18,48,2.66,N,N,N,Y,moderate leaf loss
SB1-08,2-Oct-15,F,2015,,4,123,2,3,91,6,6,10,38,8,10,24,54,2.25,N,N,N,Y,
SB1-09,2-Oct-15,F,2015,,2,12,2,2,50,3,0,5,8,3,3,11,11,1,N,N,N,Y,
SB1-10,2-Oct-15,F,2015,,2,123,2,3,51,5,5,4,8,4,0,13,13,1,N,N,N,Y,"some dead leaves, dead branch, secondary leader tagged and assessed"
SB1-11,2-Oct-15,F,2015,,2,12,2,2,50,10,11,9,6,3,4,22,21,0.95,N,N,Y,Y,"few brown/curling, minor insect damage. Blight leaves clustered"
SB1-12,2-Oct-15,F,2015,,2,123,2,3,51,4,2,4,5,3,3,11,10,0.9,N,N,Y,Y,"few brown/curling, minor insect damage. Blight leaves clustered"
SB1-13,2-Oct-15,F,2015,,2,123,2,3,51,5,2,4,3,6,13,15,18,1.2,N,N,Y,Y,"healthy, other than blight. Blight leaves clustered"
SB1-14,2-Oct-15,F,2015,,1,12,2,2,30,3,7,6,19,4,7,13,33,2.53,N,N,Y,Y,"few brown/curling, minor insect damage. Blight leaves clustered"
SB1-15,2-Oct-15,F,2015,,2,12,2,2,50,3,10,10,38,3,1,16,49,3.06,N,N,Y,Y,minor insect damage. Blight leaves clustered
SB1-16,2-Oct-15,F,2015,,1,12,2,2,30,4,1,5,0,6,1,15,2,0.13,Y,N,N,Y,"nearly leafless, some insect damage"
SB1-17,2-Oct-15,F,2015,,3,12,1,2,66,4,3,3,1,8,0,15,4,0.26,Y,N,N,Y,
SB1-18,2-Oct-15,F,2015,,1,123,2,3,31,3,9,3,6,4,1,10,16,1.6,N,N,Y,Y,"very minor insect damage, healthy besides blight. Blight leaves clustered"
SB1-19,2-Oct-15,F,2015,,1,12,1,2,26,3,4,3,7,4,11,10,22,2.2,N,N,Y,Y,"minor insect damage, minor brown/curl. Blight leaves clustered"
SB1-20,2-Oct-15,F,2015,,1,12,1,2,26,4,21,6,4,4,17,14,42,3,N,N,Y,Y,dark/black stippling/discoloration along veins and on some leaves - sooty mold? Blight leaves clustered.
SC1-01,8-Oct-15,F,2015,,0,0,0,0,0,4,9,5,7,9,40,18,56,3.11,N,na,na,Y,Minor insect damage
SC1-02,8-Oct-15,F,2015,,0,0,0,0,0,4,0,4,13,5,25,13,38,2.92,N,na,na,Y,Minor leaf damage. Evidence of wooly aphids
SC1-03,8-Oct-15,F,2015,,0,0,0,0,0,12,45,5,14,9,14,26,73,2.8,Y,na,na,Y,"Moderate browse, mild insect damage"
SC1-04,8-Oct-15,F,2015,,0,0,0,0,0,7,26,3,10,7,11,17,47,2.76,Y,na,na,Y,"Evidence of wooly aphids, current browse in minor, evidence of heavier past browse"
SC1-05,8-Oct-15,F,2015,,0,0,0,0,0,6,36,5,19,7,25,18,80,4.44,N,na,na,Y,"Evidence of wooly aphids, some leaves have tiny white spots along main and seconday veins"
SC1-06,8-Oct-15,F,2015,,0,0,0,0,0,3,7,8,34,10,5,21,46,2.19,N,na,na,Y,White stippling pattern on some leaves. Mild insect damage (dark brown spots - mites?)
SC1-07,8-Oct-15,F,2015,,0,0,0,0,0,3,2,11,45,4,7,18,54,3,N,na,na,Y,"Minor insect damage, some white stippling but very minimal"
SC1-08,8-Oct-15,F,2015,,0,0,0,0,0,6,2,9,7,8,8,23,17,0.73,N,na,na,Y,"Minimal insect damage, possible old browse."
SC1-09,8-Oct-15,F,2015,,0,0,0,0,0,10,47,7,14,6,16,23,77,3.34,N,na,na,Y,"Insect damage in very minimal, some white stippling on leaves"
SC1-10,8-Oct-15,F,2015,,0,0,0,0,0,16,253,9,95,6,18,31,366,11.8,N,na,na,Y,Minimal insect damage
SC1-11,8-Oct-15,F,2015,,1,1,1,1,25,9,41,10,26,14,51,33,118,3.57,N,na,na,Y,Very minimal insect damage. Only 2 leaves with blight
SC1-12,8-Oct-15,F,2015,,0,0,0,0,0,4,0,4,6,3,5,11,11,1,N,na,na,Y,Very minimal insect damage
SC1-13,8-Oct-15,F,2015,,0,0,0,0,0,7,15,3,7,7,26,17,48,2.82,N,na,na,Y,"Minimal insect damage, two folded leaves w living aphids and juveniles"
SC1-14,8-Oct-15,F,2015,,0,0,0,0,0,4,8,4,14,6,0,14,22,1.57,N,na,na,Y,"Very minimal insect damage, white stippling present but minimal"
